arquivo,documento_id,n_tokens,n_entidades,qtde_NOUN,qtde_VERB,qtde_ADJ,qtde_PROPN,qtde_PER,qtde_ORG,qtde_LOC,qtde_nsubj,qtde_obj,qtde_amod,qtde_advmod
noticias_arbitragem-em-contratos-de-previdencia-privada_830984799.txt,36,898,28,197,85,91,37,3,11,8,44,45,73,38
noticias_arrendamento-sem-contrato-nao-e-valido_622999842.txt,37,674,22,162,82,38,26,2,4,9,34,32,31,24
noticias_as-dificuldades-presentes-em-um-contrato-de-gaveta_361093395.txt,38,1383,46,330,125,92,65,13,10,10,53,48,78,45
noticias_as-obrigacoes-do-fiador-no-contrato-de-locacao_112341058.txt,39,2066,55,510,217,104,83,10,6,13,102,89,78,79
noticias_assessoria-juridica-em-contratos-de-compra-e-venda-de-imovel_702380339.txt,40,489,5,131,45,36,6,1,0,1,30,20,25,18
noticias_atendimento-ao-cliente-na-advocacia-como-fechar-mais-contratos_693752044.txt,41,2660,38,474,402,102,53,9,4,10,222,229,61,165
noticias_autonomia-da-vontade-contrato-x-lei_797412808.txt,42,616,14,137,77,56,23,2,1,2,35,46,44,21
noticias_aviso-previo-no-contrato-de-experiencia_850588125.txt,43,207,9,43,23,11,15,0,0,1,6,9,6,6
noticias_banco-e-condenado-a-readequar-taxa-de-juros-abusivos-em-contrato_1680041470.txt,44,354,16,72,32,16,45,4,4,4,7,17,13,11
noticias_banco-e-condenado-por-assinatura-falsa-em-contrato-de-emprestimo_1506848030.txt,45,460,11,116,49,32,20,2,2,0,23,20,20,19
noticias_banco-sera-ressarcido-por-golpe-em-contratos-de-financiamento_1538539211.txt,46,307,8,85,27,20,16,1,0,1,12,11,18,8
noticias_busca-e-apreensao-no-no-contrato-de-alienacao-fiduciaria_850062588.txt,47,356,7,87,41,14,12,0,2,3,19,19,7,10
noticias_cajufa-divulga-relatorio-sobre-recomposic_1ecae62643.txt,48,294,24,65,29,19,57,11,3,5,12,11,20,4
noticias_cancelamento-de-contrato-via-telefone_586681326.txt,49,165,7,35,19,8,15,0,1,1,9,8,5,11
noticias_cancelamento-de-contratos-pela-internet_417089190.txt,50,255,8,62,25,12,19,2,0,1,9,14,10,8
noticias_cancelamento-do-contrato-sem-notificacao-e-ilegal_582408324.txt,51,291,9,76,37,12,17,1,0,3,16,19,10,10
noticias_cdc-nao-se-aplica-a-contratos-de-emprestimo-para-capital-de-giro_1764074391.txt,52,586,28,146,53,43,41,4,13,6,28,25,33,13
